GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,OPTAX.id,OPTAX.display-label,PRODSVC2012.id,PRODSVC2012.display-label,PRODSVC2012.annotation.id,YEAR.id,ESTAB,TVALLN,RCPTOT,LINE_PCT,LINEALL_PCT,LINE_COV,KB_PCT
Geographic identifier code,Id2,Geographic area name,Id,2012 NAICS code,Meaning of 2012 NAICS code,Id,Type of operation or tax status code,Meaning of Type of operation or tax status code,Products and services code,Meaning of Products and services code,Id,Year,Number of establishments,"Total sales of estabs reporting product line ($1,000)","Sales ($1,000)",Product line sales as % of total sales of estabs reporting line (%),Product line sales as % of total sales of all estabs (%),Response coverage of product lines inquiry (%),Percent of sales accounted for by industry (%)
0100000US,,United States,,4231,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,
0100000US,,United States,,4231,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,
0100000US,,United States,,42312,Motor vehicle supplies and new parts merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,,ECONF$X,
0100000US,,United States,,42312,Motor vehicle supplies and new parts merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,,ECONF$X,
0100000US,,United States,,423120,Motor vehicle supplies and new parts merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,,ECONF$X,
0100000US,,United States,,423120,Motor vehicle supplies and new parts merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,,ECONF$X,
0100000US,,United States,,4231201,Motor vehicle supplies and new parts merchant wholesalers- warehouse distributors,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,
0100000US,,United States,,4231201,Motor vehicle supplies and new parts merchant wholesalers- warehouse distributors,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,ECONF$D,ECONF$D,ECONF$D,ECONF$D,ECONF$X,ECONF$D
0100000US,,United States,,4231202,Motor vehicle supplies and new parts merchant wholesalers- jobbers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,,ECONF$X,
0100000US,,United States,,4231202,Motor vehicle supplies and new parts merchant wholesalers- jobbers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,,ECONF$X,
0100000US,,United States,,4232,Furniture and home furnishing merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,
0100000US,,United States,,4232,Furniture and home furnishing merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,
0100000US,,United States,,42321,Furniture merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,
0100000US,,United States,,42321,Furniture merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,
0100000US,,United States,,423210,Furniture merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,,,,,ECONF$Z,ECONF$X,
